2026-07-07T11:07:46.957020+00:00 | status=ok | changed=False | finished_matches=89 | eliminated=38 | new_eliminated=0 | published=True | detail=2026-07-07T110747Z.json
2026-07-07T11:12:53.574226+00:00 | status=ok | changed=False | finished_matches=89 | eliminated=38 | new_eliminated=0 | published=True | detail=2026-07-07T111253Z.json
2026-07-07T21:28:34.326666+00:00 | status=ok | changed=True | finished_matches=90 | eliminated=39 | new_eliminated=1 | published=True | detail=2026-07-07T212834Z.json
2026-07-08T07:25:25.071365+00:00 | status=ok | changed=True | finished_matches=90 | eliminated=39 | new_eliminated=0 | published=True | detail=2026-07-08T072525Z.json
2026-07-08T10:23:44.664918+00:00 | status=ok | changed=False | finished_matches=90 | eliminated=39 | new_eliminated=0 | published=True | detail=2026-07-08T102345Z.json
2026-07-08T21:13:29.199895+00:00 | status=ok | changed=False | finished_matches=90 | eliminated=39 | new_eliminated=0 | published=True | detail=2026-07-08T211329Z.json
2026-07-09T07:55:38.972212+00:00 | status=ok | changed=True | finished_matches=90 | eliminated=40 | new_eliminated=1 | published=True | detail=2026-07-09T075539Z.json
2026-07-09T07:56:10.535958+00:00 | status=ok | changed=False | finished_matches=90 | eliminated=39 | new_eliminated=0 | published=True | detail=2026-07-09T075610Z.json
2026-07-09T11:14:05.193896+00:00 | status=ok | changed=False | finished_matches=90 | eliminated=40 | new_eliminated=0 | published=True | detail=2026-07-09T111405Z.json
2026-07-09T21:26:04.375020+00:00 | status=ok | changed=False | finished_matches=90 | eliminated=40 | new_eliminated=0 | published=True | detail=2026-07-09T212604Z.json
2026-07-10T11:09:19.217747+00:00 | status=ok | changed=True | finished_matches=91 | eliminated=41 | new_eliminated=1 | published=True | detail=2026-07-10T110919Z.json
2026-07-10T16:07:16.713648+00:00 | status=ok | changed=False | finished_matches=91 | eliminated=41 | new_eliminated=0 | published=True | detail=2026-07-10T160717Z.json
2026-07-10T21:09:59.215236+00:00 | status=ok | changed=True | finished_matches=92 | eliminated=42 | new_eliminated=1 | published=True | detail=2026-07-10T210959Z.json
2026-07-11T09:42:45.873983+00:00 | status=ok | changed=False | finished_matches=92 | eliminated=42 | new_eliminated=0 | published=True | detail=2026-07-11T094246Z.json
2026-07-11T20:55:55.340221+00:00 | status=ok | changed=False | finished_matches=92 | eliminated=42 | new_eliminated=0 | published=True | detail=2026-07-11T205555Z.json
2026-07-12T09:54:45.212235+00:00 | status=ok | changed=True | finished_matches=92 | eliminated=44 | new_eliminated=2 | published=True | detail=2026-07-12T095445Z.json
2026-07-12T20:56:30.864921+00:00 | status=ok | changed=False | finished_matches=92 | eliminated=44 | new_eliminated=0 | published=True | detail=2026-07-12T205631Z.json
2026-07-13T11:17:55.525164+00:00 | status=ok | changed=False | finished_matches=92 | eliminated=44 | new_eliminated=0 | published=True | detail=2026-07-13T111755Z.json
2026-07-13T21:01:25.256130+00:00 | status=ok | changed=False | finished_matches=92 | eliminated=44 | new_eliminated=0 | published=True | detail=2026-07-13T210125Z.json
2026-07-14T10:02:38.868638+00:00 | status=ok | changed=False | finished_matches=92 | eliminated=44 | new_eliminated=0 | published=True | detail=2026-07-14T100239Z.json
2026-07-14T21:04:09.829756+00:00 | status=ok | changed=True | finished_matches=93 | eliminated=45 | new_eliminated=1 | published=True | detail=2026-07-14T210410Z.json
2026-07-14T21:10:48.547111+00:00 | status=ok | changed=False | finished_matches=93 | eliminated=45 | new_eliminated=0 | published=True | detail=2026-07-14T211048Z.json
2026-07-15T10:07:25.796979+00:00 | status=ok | changed=False | finished_matches=93 | eliminated=45 | new_eliminated=0 | published=True | detail=2026-07-15T100726Z.json
2026-07-15T21:04:08.144320+00:00 | status=ok | changed=True | finished_matches=94 | eliminated=46 | new_eliminated=1 | published=True | detail=2026-07-15T210409Z.json
2026-07-16T09:12:35.001829+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-16T091235Z.json
2026-07-16T10:15:00.415246+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-16T101500Z.json
2026-07-16T21:06:50.914410+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-16T210651Z.json
2026-07-17T10:02:54.070693+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-17T100254Z.json
2026-07-17T21:00:52.275438+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-17T210052Z.json
2026-07-18T09:37:44.254921+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-18T093744Z.json
2026-07-18T20:55:47.050739+00:00 | status=ok | changed=False | finished_matches=94 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-18T205547Z.json
2026-07-19T09:55:24.609784+00:00 | status=ok | changed=True | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-19T095525Z.json
2026-07-19T20:56:20.030346+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-19T205620Z.json
2026-07-20T10:57:07.450784+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-20T105708Z.json
2026-07-20T21:15:31.061468+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-20T211531Z.json
2026-07-21T10:28:07.985459+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-21T102808Z.json
2026-07-21T21:15:10.257587+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-21T211510Z.json
2026-07-22T10:29:33.296832+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-22T102933Z.json
2026-07-22T21:14:03.972608+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-22T211404Z.json
2026-07-23T10:27:34.540359+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-23T102735Z.json
2026-07-23T21:09:13.583681+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-23T210913Z.json
2026-07-24T10:23:30.130324+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-24T102330Z.json
2026-07-24T21:08:33.364124+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-24T210833Z.json
2026-07-25T09:53:19.985463+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-25T095320Z.json
2026-07-25T20:57:34.022925+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-25T205734Z.json
2026-07-26T10:04:18.493428+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-26T100419Z.json
2026-07-26T21:02:44.035777+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-26T210244Z.json
2026-07-27T11:29:47.094001+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-27T112947Z.json
2026-07-27T21:15:43.209679+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-27T211543Z.json
2026-07-28T10:40:03.568872+00:00 | status=ok | changed=False | finished_matches=95 | eliminated=46 | new_eliminated=0 | published=True | detail=2026-07-28T104003Z.json
